clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,5,0.126943005,0.224093264,0.28238342,0.199481865,0.109455959,0.057642487,10d,0.36826183,2074,1544,1,0.0117943681507595,0.13671816690042982,0.1974787250995702,0.2909
B3,14,0.22330097100000001,0.257820928,0.279395901,0.15426105699999998,0.057173679000000005,0.028047465,10d,0.25412294,1227,927,1,0.011535358314345573,0.055508030026972216,0.11493425797302778,0.0
L2.5,23,0.5102173210000001,0.284138826,0.133311709,0.057087253,0.0103795,0.004865391,10d,0.04245684,3534,3083,2,0.007337322691286512,-0.003654799797810082,0.03414458179781008,0.0
P2.3,37,0.112541376,0.21993379899999999,0.25891872,0.224347186,0.109599117,0.074659801,10d,0.24830508,3920,2719,2,0.010210157855498846,0.15795929420194607,0.21055854179805392,0.6531
P2.4,46,0.20614035100000003,0.271929825,0.324561404,0.131578947,0.039473684,0.026315789,10d,0.23277803,280,228,2,0.017847509929979095,0.01981733392697986,0.11176161207302014,0.0
S2,53,0.342696629,0.21488764,0.24859550600000002,0.115168539,0.050561798,0.028089887999999997,10d,0.17970339999999999,861,712,1,0.01227780068704843,0.047026167207167825,0.11027720479283218,0.0
S3,63,0.26405868,0.268948655,0.2200489,0.15403423,0.06601467,0.026894866,10d,0.25323276,510,409,2,0.015969469764589298,0.05177490781823272,0.1340441641817673,0.0
UI,70,0.12186898,0.19267823,0.28082852,0.22495183,0.11319846,0.06647399,10d,0.42101823,6408,3010,1,,,,
W1.1,77,0.18997669,0.275058275,0.277389277,0.164335664,0.066433566,0.026806527,10d,0.23513085,2310,1716,2,0.009911423465171881,0.06770995799852808,0.11877022800147191,0.0
W1.4,83,0.121290323,0.209032258,0.300645161,0.198709677,0.130322581,0.04,10d,0.0,1146,775,1,0.015208746168751737,0.1311474469482922,0.2094977150517078,0.5438
W2.6,90,0.14572127099999999,0.22738386300000002,0.23227383899999998,0.221026895,0.11344743300000001,0.060146699000000005,10d,0.31820932,2779,2045,2,0.010914122348245441,0.14548121583287146,0.20170704816712856,0.5786
